"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Legal Name","Record Type","Census Block Group","Company Description","Primary SIC Code","Primary NAICS","Type of Business","Latitude","Longitude"
"Walmart Supercenter","WALMART INC","Tara","Lester","3900 Morse Rd","Columbus","OH","43219","","Verified","2","Shop Your Local Walmart For A Wide Selection Of Items IN Electronics, Home Furniture & Appliances, Toys, Clothing, Baby Gear, Video Games, And More - Helping You Save Money And Live Better.","531102","45511001","Branch of Public Company","040.060508","-082.913130"
"Walmart Supercenter","WALMART INC","Kory","Shinlever","5200 Westpointe Plaza Dr","Columbus","OH","43228","","Verified","1","Shop Your Local Walmart For A Wide Selection Of Items IN Electronics, Home Furniture & Appliances, Toys, Clothing, Baby Gear, Video Games, And More - Helping You Save Money And Live Better.","531102","45511001","Branch of Public Company","039.983176","-083.145067"
"Walmart Supercenter","WALMART INC","Richard","Lundquist","5900 Britton Pkwy","Dublin","OH","43016","","Verified","3","Shop Your Local Walmart For A Wide Selection Of Items IN Electronics, Home Furniture & Appliances, Toys, Clothing, Baby Gear, Video Games, And More - Helping You Save Money And Live Better.","531102","45511001","Branch of Public Company","040.074028","-083.137618"
"Walmart Supercenter","WALMART INC","Stan","Fulk","7730 Sawmill Rd","Dublin","OH","43016","","Verified","1","Shop Your Local Walmart For A Wide Selection Of Items IN Electronics, Home Furniture & Appliances, Toys, Clothing, Baby Gear, Video Games, And More - Helping You Save Money And Live Better.","531102","45511001","Branch of Public Company","040.123491","-083.087117"
"Walmart Supercenter","WALMART INC","John","Kent","1693 Stringtown Rd","Grove City","OH","43123","","Verified","2","Shop Your Local Walmart For A Wide Selection Of Items IN Electronics, Home Furniture & Appliances, Toys, Clothing, Baby Gear, Video Games, And More - Helping You Save Money And Live Better.","531102","45511001","Branch of Public Company","039.875256","-083.042694"
"Walmart Supercenter","WALMART INC","Jennifer","Wingo","50 E Schrock Rd","Westerville","OH","43081","","Verified","1","Shop Your Local Walmart For A Wide Selection Of Items IN Electronics, Home Furniture & Appliances, Toys, Clothing, Baby Gear, Video Games, And More - Helping You Save Money And Live Better.","531102","45511001","Branch of Public Company","040.111316","-082.923926"
"Walmart Supercenter","WALMART INC","Tony","Vussa","3657 E Main St","Whitehall","OH","43213","","Verified","2","Shop Your Local Walmart For A Wide Selection Of Items IN Electronics, Home Furniture & Appliances, Toys, Clothing, Baby Gear, Video Games, And More - Helping You Save Money And Live Better.","531102","45511001","Branch of Public Company","039.954135","-082.900505"
"Wayne Market","","Khalid","Kurdi","2403 W Broad St","Columbus","OH","43204","","Verified","3","","541105","44511003","Private","039.955141","-083.064556"
"Weber Road Market","","Mohammad","Ali","900 E Weber Rd","Columbus","OH","43211","","Verified","3","","541105","44511003","Private","040.024126","-082.988012"
"Weilands Fine Meats Inc","","Jennifer","Williams","3600 Indianola Ave","Columbus","OH","43214","WEILANDS FINE MEATS INC","Verified","1","Success Continued Under Their Leadership And Brought The Expansion To The New Location IN August Of 1999, Where It Is Still Strong And Growing. Our Mission Statement Is Plain And Simple, 'to Provide Our Customers With High Quality Meat, Seafood, And Products IN Order To Provide The Best Customer Service.' Since 1961 We Have Added The Largest And Only Strictly Fresh Seafood Department IN The Area, Enlarged Produce, Added Wine, Liquor And Beer And A Host Of Other New And Exciting Products. Weiland's Has Had Its Roots IN Clintonville Since Its Inception And Has Been A Big Supporter Of Its Chamber And Community Events. Weiland's Customers That Have Moved From The Area Still Come Back And Enjoy The Personal Touch That We Offer. For Many, We Are On A First Name Basis Not Only With Them, But Their Kids As Well. Weiland's Reputation Extends Down Into The Generations And We Hear All Of The Time How Their Parents OR Grandparents Shopped Here. Please Indulge Yourself And Visit And Enjoy The Experience Of Personalized Service And Care. You Are Always Welcome Here.","541105","44511003","Private","040.037253","-082.999219"
"West Gate Intl Market","","","","6050 Joneswood Dr","Hilliard","OH","43026","","Verified","3","","651201","53112008","Private","040.011578","-083.176462"
"Wheatland Food Market","","Ahmeb","Rawahneh","1432 Mount Vernon Ave","Columbus","OH","43203","WHEATLAND FOOD INC","Verified","1","","541105","44511003","Private","039.973895","-082.964151"
"Whitehall Market LLC","","Monjed","Humeidan","1110 Watkins Rd # C","Columbus","OH","43207","WHITEHALL MARKET LLC","Verified","2","","541105","44511003","Private","039.905513","-082.965448"
"Whole Foods Market","AMAZON.COM INC","Kathleen","Tozzi","3670 W Dublin Granville Rd","Columbus","OH","43235","","Verified","1","Welcome To Columbus, OH Whole Foods Market! Whole Foods Is The Leading Retailer Of Natural And Organic Foods Uniquely Positioned As America's Healthiest Grocery Store.","541105","44511003","Branch of Public Company","040.098525","-083.086439"
"Whole Foods Market","AMAZON.COM INC","Tiffany","Nolan","4100 Easton Gateway Dr","Columbus","OH","43219","","Verified","1","Welcome To Columbus, OH Whole Foods Market! Whole Foods Is The Leading Retailer Of Natural And Organic Foods Uniquely Positioned As America's Healthiest Grocery Store.","541105","44511003","Branch of Public Company","040.057035","-082.909530"
"Whole Foods Market","AMAZON.COM INC","Eric","Aquirre","1555 W Lane Ave","Upper Arlington","OH","43221","","Verified","1","Welcome To Upper Arlington, OH Whole Foods Market! Whole Foods Is The Leading Retailer Of Natural And Organic Foods Uniquely Positioned As America's Healthiest Grocery Store.","541105","44511003","Branch of Public Company","040.006556","-083.053044"
"Wine & Brew Emporium","","B","Patel","6154 S Sunbury Rd","Westerville","OH","43081","WINE & BREW EMPORIUM","Verified","2","","541105","44511003","Private","040.084630","-082.895268"
"Yao Lee Oriental Supermarket","","Bee","Stintel","2848 N High St","Columbus","OH","43202","YAO-LEE ORIENTAL SUPERMARKET CORP","Verified","2","","541105","44511003","Private","040.020403","-083.012359"
"Ybb Market","","Sam","Ali","2900 Westerville Rd","Columbus","OH","43224","YBB MARKET","Verified","1","","541105","44511003","Private","040.026991","-082.959753"
"Yummy Nummyz LLC","","Alicia R","Dean","6956 E Broad St Pmb 414","Columbus","OH","43213","YUMMY NUMMYZ LLC","Verified","2","","541105","44511003","Private","039.984391","-082.816465"
