,NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract
72,Census Tract 54.20; Franklin County; Ohio,782,11,104,41,27,77,24,42,70,25,31,92,91,66,19,36,26,39,049,005420
73,Census Tract 55; Franklin County; Ohio,1982,158,153,214,187,148,105,80,17,84,153,255,52,143,25,147,61,39,049,005500
74,Census Tract 56.10; Franklin County; Ohio,784,44,25,37,61,9,45,35,45,42,51,123,38,146,32,25,26,39,049,005610
75,Census Tract 56.20; Franklin County; Ohio,1103,122,65,53,56,35,69,124,59,19,97,121,108,77,13,35,50,39,049,005620
76,Census Tract 57; Franklin County; Ohio,2286,29,17,57,78,11,44,0,40,19,138,253,363,245,294,346,352,39,049,005700
77,Census Tract 58.10; Franklin County; Ohio,1560,24,35,16,49,73,57,0,63,25,43,179,161,384,123,211,117,39,049,005810
78,Census Tract 58.20; Franklin County; Ohio,1181,47,102,28,72,53,10,41,20,24,58,112,156,98,103,170,87,39,049,005820
79,Census Tract 59; Franklin County; Ohio,953,83,61,13,88,105,30,45,57,62,83,71,129,86,0,32,8,39,049,005900
80,Census Tract 60; Franklin County; Ohio,781,52,21,42,92,11,15,88,76,58,59,33,105,95,27,7,0,39,049,006000
81,Census Tract 61; Franklin County; Ohio,1077,67,159,106,50,26,15,24,85,22,52,169,56,90,139,0,17,39,049,006100
82,Census Tract 62.36; Franklin County; Ohio,1994,25,0,0,0,11,50,0,0,36,28,133,89,102,195,386,939,39,049,006236
83,Census Tract 62.37; Franklin County; Ohio,3280,36,79,39,18,38,18,57,193,164,213,413,420,368,291,290,643,39,049,006237
84,Census Tract 62.38; Franklin County; Ohio,767,6,0,0,12,7,21,16,22,0,27,119,124,53,30,84,246,39,049,006238
85,Census Tract 62.39; Franklin County; Ohio,2819,11,150,0,28,7,94,13,18,41,122,99,835,668,515,81,137,39,049,006239
86,Census Tract 62.40; Franklin County; Ohio,2544,0,0,25,152,159,50,142,32,97,247,268,416,217,272,131,336,39,049,006240
87,Census Tract 62.41; Franklin County; Ohio,3409,66,178,35,179,31,67,163,177,50,87,429,245,331,352,498,521,39,049,006241
88,Census Tract 63.01; Franklin County; Ohio,1174,0,17,29,23,98,19,18,64,54,63,121,191,203,155,70,49,39,049,006301
89,Census Tract 63.02; Franklin County; Ohio,1987,32,0,89,72,81,40,34,135,114,226,147,204,207,108,345,153,39,049,006302
90,Census Tract 63.10; Franklin County; Ohio,1568,20,0,8,9,19,0,67,26,33,36,87,100,93,123,244,703,39,049,006310
91,Census Tract 63.21; Franklin County; Ohio,1561,20,0,0,7,20,21,15,43,14,67,154,112,131,93,222,642,39,049,006321
